N,Small,Large,Small_Error,Large_Error
100,0.9625,0.583328,0.0190392,0.382406
600,0.95,1.10184,0.00580489,0.166566
1100,0.954545,0.963375,0.0106173,0.0199659
1600,0.936719,0.86284,0.00825653,0.0864755
2100,0.941667,0.884251,0.00301796,0.0638059
2600,0.923077,1.02082,0.0226997,0.0807895
3100,0.941935,1.08512,0.00273336,0.148858
3600,0.958333,0.920902,0.0146277,0.025002
4100,0.951524,0.929531,0.00741882,0.0158665
4600,0.940217,0.980668,0.00455237,0.038274
5100,0.940196,0.97412,0.00457494,0.0313416
5600,0.943973,1.00867,0.000575926,0.067923
6100,0.943443,0.863836,0.00113768,0.0854209
6600,0.947917,1.01493,0.00359917,0.0745512
7100,0.946479,0.957151,0.00207692,0.0133761
7600,0.947697,0.914648,0.00336699,0.0316234
8100,0.940895,0.990218,0.00383489,0.0483849
8600,0.934157,0.937169,0.0109688,0.00778016
9100,0.927747,1.02884,0.017755,0.089273
9600,0.949479,0.934743,0.00525346,0.0103485
10100,0.947153,0.90387,0.00279114,0.043035
10600,0.941863,0.945615,0.00280988,0.00116262
11100,0.953041,0.911779,0.00902403,0.0346616
11600,0.938901,0.931146,0.00594624,0.0141567
12100,0.954236,0.989087,0.0102892,0.0471876
12600,0.94494,0.93672,0.000448155,0.00825512
13100,0.944656,0.94327,0.000147486,0.00132063
13600,0.942463,0.980792,0.0021746,0.0384056
14100,0.950975,0.925327,0.00683735,0.0203178
14600,0.940411,0.933591,0.00434743,0.0115676
15100,0.95,0.959337,0.00580489,0.0156899
15600,0.945994,0.960373,0.00156313,0.0167867
16100,0.944953,0.966175,0.000461855,0.02293
16600,0.939307,0.948201,0.005516,0.00390031
17100,0.945175,0.936964,0.00069692,0.00799714
17600,0.93544,0.955089,0.00961004,0.0111932
18100,0.947928,0.943208,0.00361136,0.00138574
18600,0.947648,0.914717,0.00331456,0.0315506
19100,0.950065,0.943709,0.00587417,0.000855762
19600,0.945599,0.963285,0.00114588,0.0198704
20100,0.937251,0.969311,0.00769276,0.0262507
20600,0.945206,0.955695,0.000729605,0.0118348
21100,0.935782,0.974057,0.00924832,0.0312747
21600,0.943634,0.950159,0.000934792,0.00597296
22100,0.938462,0.93702,0.00641137,0.00793722
22600,0.943418,0.933927,0.0011636,0.0112119
23100,0.946374,0.934335,0.00196637,0.0107802
23600,0.944544,0.935138,2.89096e-05,0.0099305
24100,0.945073,0.95164,0.000588055,0.00754099
24600,0.940498,0.942573,0.00425532,0.00205846
25100,0.941036,0.938128,0.00368583,0.00676448
25600,0.943066,0.94525,0.001536,0.000775712
26100,0.944205,0.949491,0.000330545,0.00526637
26600,0.946288,0.956863,0.00187441,0.0130709
27100,0.945203,0.948895,0.000726049,0.00463478
27600,0.948279,0.956715,0.00398278,0.0129138
28100,0.937367,0.934155,0.00757068,0.0109704
28600,0.942308,0.954537,0.00233928,0.0106084
29100,0.947723,0.931788,0.00339452,0.0134767
29600,0.94299,0.96663,0.00161704,0.0234117
30100,0.945515,0.962201,0.00105637,0.0187223
30600,0.940033,0.947114,0.00474793,0.00274932
31100,0.9416,0.932825,0.00308889,0.0123791
31600,0.940309,0.92268,0.00445587,0.02312
32100,0.9456,0.926783,0.00114609,0.0187759
32600,0.94306,0.952829,0.00154298,0.00880003
33100,0.940634,0.920225,0.00411082,0.025719
33600,0.948326,0.927364,0.00403244,0.0181603
34100,0.943438,0.94798,0.00114214,0.00366573
34600,0.943389,0.944115,0.00119475,0.000425878
35100,0.942557,0.925126,0.00207535,0.0205299
35600,0.946313,0.935346,0.00190152,0.00970998
36100,0.946988,0.942859,0.00261546,0.00175594
36600,0.943784,0.936885,0.000776093,0.00808102
37100,0.94653,0.891502,0.00213068,0.0561299
37600,0.942985,0.934463,0.0016218,0.0106451
38100,0.94544,0.949758,0.000976633,0.00554895
38600,0.943653,0.938715,0.000915109,0.00614297
39100,0.948114,0.933176,0.0038079,0.0120075
39600,0.949085,0.982525,0.00483571,0.0402404
40100,0.945948,0.964455,0.00151447,0.0211093
40600,0.94923,0.956409,0.00498997,0.0125905
41100,0.951277,0.974106,0.00715729,0.0313269
41600,0.942698,0.966137,0.00192571,0.0228901
42100,0.946348,0.944733,0.00193834,0.000228464
42600,0.949296,0.955325,0.00505929,0.0114431
43100,0.945679,0.928453,0.0012297,0.0170081
43600,0.943148,0.970653,0.00144968,0.0276708
44100,0.950624,0.965159,0.0064651,0.0218543
44600,0.946749,0.965892,0.00236279,0.0226304
45100,0.945732,0.951519,0.00128586,0.00741314
45600,0.943503,0.953025,0.00107345,0.00900776
46100,0.944414,0.945641,0.000108912,0.00119
46600,0.944635,0.944883,0.000124939,0.000387438
47100,0.942463,0.913179,0.00217502,0.0331791
47600,0.943908,0.959755,0.000645433,0.0161324
48100,0.945374,0.971405,0.000907378,0.0284674
48600,0.941615,0.948608,0.00307243,0.00433155
49100,0.944476,0.927662,4.4071e-05,0.0178452
49600,0.94748,0.930463,0.00313668,0.0148794
50100,0.94234,0.936313,0.00230474,0.00868559
50600,0.94165,0.938013,0.0030354,0.00688605
51100,0.946233,0.952807,0.00181647,0.00877717
51600,0.950363,0.939995,0.0061896,0.00478795
52100,0.943402,0.918658,0.00118058,0.0273783
52600,0.944273,0.946152,0.000258727,0.00173122
53100,0.949082,0.958848,0.00483288,0.0151726
53600,0.943004,0.944099,0.00160236,0.000442529
54100,0.944316,0.942382,0.000212918,0.00226032
54600,0.944345,0.928411,0.000182048,0.0170528
55100,0.94603,0.957922,0.00160162,0.0141917
55600,0.945414,0.937592,0.000949144,0.00733241
56100,0.943271,0.955923,0.00131945,0.0120762
56600,0.948034,0.947307,0.00372388,0.00295376
57100,0.945118,0.941225,0.000636333,0.0034852
57600,0.93928,0.94622,0.00554534,0.00180325
58100,0.943675,0.949791,0.000891976,0.00558336
58600,0.944795,0.954296,0.000294368,0.0103529
59100,0.942957,0.947209,0.00165199,0.00285006
59600,0.942576,0.968136,0.00205574,0.0250057
60100,0.941348,0.940507,0.00335561,0.00424526
60600,0.947483,0.956812,0.00314056,0.0130172
61100,0.943801,0.936889,0.000758102,0.00807596
61600,0.944034,0.939543,0.000511473,0.00526592
62100,0.943357,0.956401,0.00122782,0.0125823
62600,0.945148,0.925467,0.000667619,0.0201697
63100,0.94689,0.947562,0.00251205,0.00322323
63600,0.945578,0.939806,0.00112295,0.00498743
64100,0.945515,0.951131,0.00105624,0.00700261
64600,0.94315,0.951746,0.00144733,0.00765339
65100,0.945315,0.932489,0.000844574,0.012735
65600,0.944665,0.944203,0.00015611,0.000332458
66100,0.943249,0.94618,0.00134282,0.00176053
66600,0.948498,0.949295,0.00421518,0.00505852
67100,0.945697,0.949031,0.00124882,0.00477913
67600,0.945081,0.950641,0.000597316,0.00648334
68100,0.942291,0.936237,0.00235722,0.00876615
68600,0.944005,0.95053,0.000542165,0.00636614
69100,0.943234,0.949561,0.00135809,0.00534056
69600,0.942547,0.94288,0.00208624,0.00173382
70100,0.946523,0.953629,0.00212345,0.00964727
70600,0.944405,0.953899,0.000118671,0.00993242
71100,0.943917,0.944729,0.000635423,0.000224337
71600,0.946439,0.947365,0.00203423,0.00301523
72100,0.944504,0.944032,1.37901e-05,0.000514177
72600,0.941391,0.961099,0.00330963,0.0175556
73100,0.94381,0.954392,0.000748887,0.0104548
73600,0.946162,0.944078,0.0017411,0.00046549
74100,0.942341,0.942693,0.00230356,0.00193141
74600,0.943247,0.935853,0.00134446,0.00917279
75100,0.944607,0.935966,9.52916e-05,0.00905355
75600,0.945784,0.969256,0.00134094,0.0261918
76100,0.944399,0.951773,0.000125322,0.00768186
76600,0.948009,0.96041,0.00369708,0.0168263
77100,0.944861,0.935897,0.000363556,0.00912608
77600,0.942429,0.94866,0.00221072,0.00438614
78100,0.945567,0.947939,0.00111104,0.00362322
78600,0.9434,0.934735,0.00118268,0.0103567
79100,0.944169,0.938168,0.000368879,0.00672249
79600,0.945791,0.938382,0.00134912,0.00649607
80100,0.94535,0.930703,0.000881273,0.0146253
80600,0.942168,0.949416,0.00248706,0.00518661
81100,0.942925,0.939966,0.00168529,0.0048182
81600,0.946752,0.949338,0.00236657,0.00510398
82100,0.940256,0.966174,0.00451172,0.0229293
82600,0.944734,0.932195,0.000229186,0.0130459
83100,0.942028,0.930213,0.00263575,0.0151444
83600,0.946501,0.959421,0.00210055,0.0157796
84100,0.944902,0.944353,0.000407316,0.00017331
84600,0.94406,0.927165,0.000483742,0.0183711
85100,0.947562,0.951764,0.00322335,0.00767248
85600,0.941238,0.947227,0.00347148,0.00286878
86100,0.943931,0.934161,0.000620117,0.0109649
86600,0.947084,0.945831,0.00271791,0.00139137
87100,0.946412,0.944532,0.0020063,1.54078e-05
87600,0.946318,0.969328,0.00190712,0.0262683
88100,0.944835,0.941535,0.000336922,0.003157
88600,0.948222,0.948841,0.00392281,0.00457777
89100,0.943883,0.93315,0.000671146,0.0120344
89600,0.940932,0.93619,0.00379587,0.00881675
90100,0.944714,0.937037,0.000208594,0.00791965
90600,0.946578,0.944957,0.00218226,0.000465942
91100,0.948052,0.942119,0.00374202,0.00253935
91600,0.943136,0.948121,0.00146241,0.00381501
92100,0.945752,0.939068,0.00130724,0.00576976
92600,0.943291,0.946596,0.00129818,0.00220079
93100,0.940064,0.953312,0.0047143,0.0093118
93600,0.946167,0.952478,0.00174694,0.00842897
94100,0.945045,0.961159,0.000558993,0.017619
94600,0.944741,0.950323,0.000236977,0.00614726
95100,0.945084,0.942158,0.000600239,0.002498
95600,0.947241,0.950552,0.00288393,0.00638968
96100,0.945434,0.939739,0.000971139,0.00505883
96600,0.942508,0.941517,0.00212746,0.00317599
97100,0.943447,0.959197,0.00113255,0.0155425
97600,0.944877,0.935357,0.000381002,0.00969813
98100,0.945387,0.941888,0.00092129,0.00278398
98600,0.942343,0.955451,0.00230211,0.0115764
99100,0.944425,0.930519,9.7788e-05,0.0148202
99600,0.948732,0.937854,0.00446286,0.00705434
