algo,step,prefix_len,p,m,true_mean_F0,true_std_F0,est_mean_N,est_std_N,rel_err_mean
packed,0,10001,12,4096,9060.37,23.015,8810.46,159.659,-0.0275825
packed,1,20001,12,4096,16475.8,53.9894,15950.9,189.391,-0.0318607
packed,2,30001,12,4096,22532.3,58.3634,21767.8,268.28,-0.0339295
packed,3,40001,12,4096,27514.8,71.2304,26587.7,367.928,-0.033694
packed,4,50001,12,4096,31584.4,81.6884,30457.8,445.042,-0.035668
packed,5,60001,12,4096,34919.2,92.7731,33674.1,565.86,-0.035656
packed,6,70001,12,4096,37645.9,76.6343,36280.5,561.89,-0.0362692
packed,7,80001,12,4096,39896.8,79.806,38421,575.407,-0.0369904
packed,8,90001,12,4096,41720.6,66.0844,40147.5,617.651,-0.0377055
packed,9,100001,12,4096,43207.1,53.7989,41527,628.064,-0.0388858
packed,10,110001,12,4096,44437.3,50.6885,42715.3,674.801,-0.0387502
packed,11,120001,12,4096,45448,50.5975,43689.3,719.032,-0.0386976
packed,12,130001,12,4096,46275.4,45.8007,44487.2,719.676,-0.0386442
packed,13,140001,12,4096,46952.3,34.3443,45092.8,734.618,-0.0396045
packed,14,150001,12,4096,47508.4,35.4736,45640.7,765.006,-0.0393121
packed,15,160001,12,4096,47965.9,36.806,46069.3,768.582,-0.0395411
packed,16,170001,12,4096,48337.2,29.2194,46466.2,761.152,-0.0387088
packed,17,180001,12,4096,48636,29.9615,46752.4,769.799,-0.038729
packed,18,190001,12,4096,48883,25.865,46979.2,739.188,-0.0389445
packed,19,200000,12,4096,49087.1,27.3293,47176.3,727.622,-0.0389269
